school_name,state,website,staff_directory
katy high school,texas,http://www.katyisd.org/,http://www.katyisd.org/site/Default.aspx?PageType=1&amp;SiteID=4&amp;ChannelID=91&amp;DirectoryType=6
lakeside christian academy,kentucky,http://www.lakesidechristianacademy.org/,https://lakesidechristianacademy.org/staff-board-members/
lanesville jr sr high school,indiana,http://www.lanesville.k12.in.us/jrsr-high/,http://www.lanesville.k12.in.us/elementary/#staff
lanesville junior senior high school,indiana,http://www.lanesville.k12.in.us/jrsr-high/,http://www.lanesville.k12.in.us/elementary/#staff
lawrence academy,north carolina,http://www.lawrenceacademy.org/,http://www.lawrenceacademy.org/academics/faculty-and-administration/
briar woods high,virginia,http://www.lcps.org/,https://www.lcps.org/Staff
lutheran high northeast,nebraska,http://www.lhne.org/,http://www.lhne.org/index.php/contacts/faculty-directory
living word lutheran high school,wisconsin,http://www.lwlhs.com/,https://www.lwlhs.com/staff
marion local high school,ohio,http://www.marionlocal.org/,https://www.marionlocal.org/Directory.aspx
marlboro academy,south carolina,http://www.marlboroacademy.com/,http://www.marlboroacademy.com/faculty--staff.html
martin county west senior high,minnesota,http://www.martin.k12.mn.us/,http://www.martin.k12.mn.us/site/Default.aspx?PageType=15&SiteID=4&SectionMax=15&DirectoryType=6
montrose area juniorsenior high school,pennsylvania,http://www.masd.info/,http://www.masd.info/parents/staff-directory
masters academy,florida,http://www.mastersvb.org/,https://www.mastersvb.org/copy-of-meet-our-team
moberly sr high school,missouri,http://www.moberly.k12.mo.us/,http://www.moberly.k12.mo.us/COFACULTY.html
montesano jr sr high school,washington,http://www.monteschools.org/jr-sr-high-school,http://www.monteschools.org/jr-sr-high-school/jr-sr-high-staff
montesano junior senior high,washington,http://www.monteschools.org/jr-sr-high-school,http://www.monteschools.org/jr-sr-high-school/jr-sr-high-staff
irwin altman middle school 172,new york,http://www.ms172.org/,http://www.ms172.org/directory/faculty
yorkville east middle school,new york,http://www.ms177.org/,http://www.ms177.org/faculty.html
north tama high school,iowa,http://www.n-tama.k12.ia.us/,https://ntredhawks.org/en-US/staff
naselle junior senior high schools,washington,http://www.naselle.wednet.edu/,http://www.naselle.wednet.edu/District/3380-School-Board-Members.html
north florida christian school,florida,http://www.nflschool.org/,http://www.nflschool.org/faculty.html
nord country,california,http://www.nordcountryschool.org/,http://www.nordcountryschool.org/our-staff.html
