school,state,staff_directory,has_pagination,is_dynamic,
canyon springs high school,california,https://canyonsprings.mvusd.net/,,,
creative and performing arts,pennsylvania,https://capa.philasd.org/,,,
capital senior high school,idaho,https://capital.boiseschools.org/,,,
capital high school,washington,https://capital.osd.wednet.edu/,,,
capital high school,new mexico,https://capital.sfps.info/,,,
capital city independent study,california,https://capitalcity.scusd.edu/,,,
capital preparatory magnet school,connecticut,https://capitalprep.org/,,,
cardinal high school,ohio,https://cardinalschools.org/chs/,,,
career academy at south bend,indiana,https://careeracademysb.com/,,,
carlisle school,virginia,https://carlisleschool.org/,,,
carroll high school,texas,https://carroll.ccisd.us/,,,
carson senior high school,california,https://carsonhighschool.org/,,,
carver middlehigh school,massachusetts,https://carver.org/middle-high-school/,,,
carver high school for applied techengineeringarts,texas,https://carverhs.aldineisd.org/,,,
carver vocational technical high school,maryland,https://carvervotech.org/,,,
cary christian school,north carolina,https://carychristianschool.org/,,,
christian academy of indiana,indiana,https://caschools.us/,,,
conneaut area senior high school,pennsylvania,https://cash.conneautsd.org/,,,
cheboygan area high school,michigan,https://cashs.chebschools.org/,,,
castle hills first baptist school,texas,https://castlehills.school/,,,
cast tech high school,texas,https://castschools.com/cast-tech/,,,
catalyst charter maria es,illinois,https://catalystschools.org/maria,,,
charles a tindley accelerated school,indiana,https://catas.tindley.org/,,,
cathedral academy,south carolina,https://cathedralacademy.com/,,,
california virtual academy  sonoma,california,https://cava.k12.com,,,
california virtual academy,california,https://cava.k12.com/,,,
cedar bluff high school,alabama,https://cb.cherokeek12.org/,,,
cherokee bluff high school,georgia,https://cbhs.hallco.org/web/,,,
collegiate baton rouge,louisiana,https://cbr.collegiateacademies.org/,,,
la costa canyon high school,california,https://cc.sduhsd.net/,,,
san dieguito high academy,california,https://cc.sduhsd.net/,,,
calvary chapel christian school,nevada,https://cccslions.org/,,,
college and career high school,new mexico,https://cchs-aps-nm.schoolloop.com/,,,
hobbs high school,new mexico,https://cchs-aps-nm.schoolloop.com/,,,
camden central high school,tennessee,https://cchs.bentoncountyschools.org/,,,
cumberland county high school,tennessee,https://cchs.ccschools.k12tn.net/,,,
chillicothe high school,ohio,https://cchs.ccsd.us/,,,
chilton county high school,louisiana,https://cchs.chiltonboe.com/,,,
churchill county high school,nevada,https://cchs.churchillcsd.com/,,,
clay county high school,kentucky,https://cchs.clay.k12.ky.us/,,,
clinton county high school,kentucky,https://cchs.clinton.kyschools.us/,,,
colleton county high school,south carolina,https://cchs.colleton.k12.sc.us/,,,
crisp county high school,georgia,https://cchs.crispschools.org/,,,
crystal city high school,texas,https://cchs.crystalcityisd.org/,,,
culpeper county high school,virginia,https://cchs.culpeperschools.org/,,,
cumberland county high school,kentucky,https://cchs.cumberland.kyschools.us/,,,
sunlake high school,florida,https://cchs.pasco.k12.fl.us/,,,
central crossing high school,ohio,https://cchs.swcsd.us/,,,
crimson cliffs high school,utah,https://cchs.washk12.org/,,,
central catholic high school,west virginia,https://cchsknights.org/,,,
coahoma county high school,mississippi,https://ccjshs.coahomak12.org/,,,
calhoun middlehigh school,west virginia,https://ccmhs.calhoun.k12.wv.us/,,,
cornwall middle school,new york,https://ccms.cornwallschools.com/,,,
caroline high school,virginia,https://ccps.us/caroline-high-school,,,
campus canyon elementary,california,https://ccs-moorpark-ca.schoolloop.com/,,,
central columbia senior high school,pennsylvania,https://ccsdhs.ss5.sharpschool.com/,,,
career academy and technical school,north carolina,https://cctl.issnc.org/,,,
collaborative college for technology,north carolina,https://cctl.issnc.org/,,,
central city value,california,https://ccvhs.valueschools.com/,,,
central davidson high school,north carolina,https://cdhs.davidson.k12.nc.us/,,,
chuckey doak high school,tennessee,https://cdhs.greenek12.org/,,,
corona del mar high school,california,https://cdm.nmusd.us/,,,
torrington high school,wyoming,https://cdn.live7.revize.com/revize/goshenths/,,,
ce byrd high school,louisiana,https://cebyrd.com/,,,
early college academy,new mexico,https://cec.aps.edu/,,,
career education center early college,colorado,https://cecdenver.dpsk12.org/,,,
carlsbad early college high school,new mexico,https://cechs.carlsbadschools.net/,,,
oakland craig junior senior high,nebraska,https://cechs.clevelandcountyschools.org/,,,
cleveland echs,north carolina,https://cechs.clevelandcountyschools.org/,,,
centaurus high school,colorado,https://ceh.bvsd.org/,,,
the center school,washington,https://centerhs.seattleschools.org/,,,
central montcalm high school,michigan,https://central-montcalm.org/schools/cm-ms-hs-school/,,,
central high school,indiana,https://central.evscschools.com/,,,
central high school,missouri,https://central.kcpublicschools.org/,,,
central high school,wyoming,https://central.laramie1.org/,,,
east chicago central high school,indiana,https://central.scec.k12.in.us/,,,
central high school,missouri,https://central.sjsd.k12.mo.us/,,,
central high school,wisconsin,https://central.wawmsd.org/,,,
central high school,louisiana,https://centralhigh.centralcss.org/,,,
central school,florida,https://centralschool1.wixsite.com/centralschool,,,
camden fairview high school,arkansas,https://cfhs.cfsd.k12.ar.us/,,,
colorados finest alternative high school,colorado,https://cfhsc.englewoodschools.net/,,,
chippewa falls high school,wisconsin,https://cfsd.chipfalls.k12.wi.us/schools/high/,,,
columbus grove high school,ohio,https://cg.noacsc.org/high-school,,,
cherokee county high school,alabama,https://ch.cherokeek12.org/,,,
challenger early college high,north carolina,https://challenger.catawbaschools.net/,,,
challenger early college high school,north carolina,https://challenger.catawbaschools.net/,,,
chandler park academy high school,michigan,https://chandlerparkacademy.net/,,,
chaney high school,ohio,https://chaney.ycsd.org/,,,
chantilly high,virginia,https://chantillyhs.fcps.edu/,,,
charleston charter school for math and science,south carolina,https://charlestonmathscience.org/,,,
randolph henry high school,virginia,https://charlottehenry.ss12.sharpschool.com/,,,
marysville charter academy for the arts,california,https://charter.mjusd.com/,,,
audeo charter ii,california,https://charterschool-sandiego.net/,,,
charter school of san diego,california,https://charterschool-sandiego.net/,,,
cypress hills collegiate preparatory school,new york,https://chcpschool.org/,,,
cherokee high school,tennessee,https://cherokee.hck12.net/,,,
central heights high school,texas,https://chhs.centralhts.org/,,,
chapel hill high school,georgia,https://chhs.dcssga.org/,,,
center hill high school,mississippi,https://chhs.desotocountyschools.org/,,,
chicago high school for the arts,illinois,https://chiarts.org/,,,
houlka attendance center,mississippi,https://chickasaw.k12.ms.us/en,,,
